epoch,train_loss,val_loss,val_auc,val_pr_auc,val_accuracy,val_precision,val_recall,val_f1
1,1.231375006529001,1.005184012300828,0.865597769257581,0.1566720838524507,0.6997084548104956,0.1332398316970547,1.0,0.23514851485148514
2,0.9097120830645928,0.6979079575223082,0.8426334557739228,0.13071678467350034,0.7035957240038873,0.1347517730496454,1.0,0.2375
3,0.76844643896971,0.6594589854426244,0.8484355310078558,0.13818998033248103,0.7035957240038873,0.1347517730496454,1.0,0.2375
4,0.752178451571709,0.6489770335200078,0.8511435236077969,0.13813440538057511,0.7035957240038873,0.1347517730496454,1.0,0.2375
5,0.7538506052432916,0.6436152461751857,0.8657559589243102,0.1567009455543089,0.7035957240038873,0.1347517730496454,1.0,0.2375
6,0.7404045118735387,0.6443582948516396,0.8558624018017535,0.14785919092438102,0.7035957240038873,0.1347517730496454,1.0,0.2375
7,0.7382960063524735,0.6436099669457797,0.8566238571466874,0.14906839275959244,0.7035957240038873,0.1347517730496454,1.0,0.2375
8,0.7280581150299463,0.6417751915287226,0.8570260342654905,0.1492615366651994,0.7035957240038873,0.1347517730496454,1.0,0.2375
9,0.731935726144375,0.6493140739553115,0.8512829450089819,0.14537622446881976,0.7035957240038873,0.1347517730496454,1.0,0.2375
10,0.735284088131709,0.6454413960934343,0.8514062793254149,0.14640087208480157,0.7035957240038873,0.1347517730496454,1.0,0.2375
